Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Road_Type,Speed_Limit,Junction_Detail,Junction_Control,Pedestrian_Crossing_Type,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Road_Hazards,Vehicle_Reference.x,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Casualty_Severity,Pedestrian_Location,Car_Passenger,Bus_or_Coach_Passenger,Vehicle_Reference.y,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_in_Restricted_Lane,Skidding_and_Overturning,Hit_Object_on_Road,Vehicle_veer_off_Road,Hit_Object_off_Road,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Engine_Capacity_CC,Engine_Type,Age_of_Vehicle
200501CW10820,Slight,1,1,22/6/2005,Wednesday,17:46,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,28,Slight,Crossing on facility,None,None,1,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,33,8268,Heavy oil,2
200501CW10821,Slight,1,1,23/6/2005,Thursday,17:34,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,2,Slight,Sidewalk,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,F,43,1597,Petrol,9
200501CW10822,Slight,2,1,25/6/2005,Saturday,17:52,One way street,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,30,Slight,Not pedestrian,None,None,1,Bicycle,Waiting to/Turning left,N,No,N,N,N,Unknown,M,30,NA,NA,NA
200501CW10822,Slight,2,1,25/6/2005,Saturday,17:52,One way street,30,T-junction,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,30,Slight,Not pedestrian,None,None,2,Taxi/Grab,Waiting to/Turning left,N,No,N,N,N,Job,M,-1,2664,Heavy oil,9
200501CW10823,Serious,2,1,26/6/2005,Sunday,18:00,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,26,Serious,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,F,26,NA,NA,NA
200501CW10823,Serious,2,1,26/6/2005,Sunday,18:00,Single motorway,30,T-junction,Give-way sign,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,F,26,Serious,Not pedestrian,None,None,2,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,NA,-1,NA,NA,NA
200501CW10824,Slight,1,1,26/6/2005,Sunday,16:15,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,F,23,Slight,Elsewhere,None,None,1,Bus/Coach,Halting,N,No,N,N,N,Job,F,34,NA,NA,NA
200501CW10825,Slight,1,1,28/6/2005,Tuesday,20:00,One way street,30,Crossroad,Traffic light,Traffic light,Lights lit,Rain,Wet,None,None,1,1,Driver,F,30,Slight,Not pedestrian,None,None,1,Motorcycle,Halting,N,Skid,N,N,N,Unknown,F,30,50,Petrol,4
200501CW10826,Slight,1,1,19/6/2005,Sunday,7:20,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,F,28,Slight,Not pedestrian,None,None,1,Motorcycle,Waiting to/Turning left,N,No,N,N,N,Unknown,M,32,535,Petrol,13
200501CW10827,Slight,2,1,22/6/2005,Wednesday,15:35,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,38,Slight,Not pedestrian,None,None,1,Motorcycle,Going ahead,N,No,Y,Y,N,Unknown,M,38,1299,Petrol,3
200501CW10827,Slight,2,1,22/6/2005,Wednesday,15:35,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Driver,M,38,Slight,Not pedestrian,None,None,2,Goods Van,Changing lane,N,No,N,N,N,Job,M,-1,NA,NA,NA
200501CW10828,Slight,1,1,1/7/2005,Friday,18:50,Single motorway,30,Not at junction,NA,Non-junction pedestrian light crossing,Daylight,Rain,Wet,None,None,1,1,Pedestrian,M,15,Slight,Crossing on facility,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,29,2324,Petrol,3
200501CW10829,Slight,2,1,27/6/2005,Monday,10:39,One way street,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,44,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,44,NA,NA,NA
200501CW10829,Slight,2,1,27/6/2005,Monday,10:39,One way street,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Driver,M,44,Slight,Not pedestrian,None,None,2,Car,Going ahead,N,No,N,N,N,Unknown,M,49,NA,NA,NA
200501CW10830,Slight,1,1,22/6/2005,Wednesday,14:55,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,38,Slight,Footbridge,None,None,1,Car,Going ahead,N,No,N,N,N,Unknown,M,83,4999,Petrol,5
200501CW10831,Serious,2,1,15/6/2005,Wednesday,1:30,Single motorway,30,T-junction,Traffic light,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Driver,M,55,Serious,Not pedestrian,None,None,1,Goods Van,Parking,N,No,N,N,N,Unknown,M,55,3900,Heavy oil,2
200501CW10831,Serious,2,1,15/6/2005,Wednesday,1:30,Single motorway,30,T-junction,Traffic light,No physical crossing facility,Lights lit,Fine,Dry,None,None,1,1,Driver,M,55,Serious,Not pedestrian,None,None,2,Bus/Coach,Going ahead,N,No,N,N,N,Job,M,43,NA,NA,NA
200501CW10832,Slight,1,1,24/6/2005,Friday,20:00,One way street,30,T-junction,Give-way sign,No physical crossing facility,Lights lit,Rain,Wet,None,None,1,1,Driver,M,41,Slight,Not pedestrian,None,None,1,Bicycle,Going ahead,N,No,N,N,N,Unknown,M,41,NA,NA,NA
200501CW10833,Slight,2,1,4/7/2005,Monday,17:10,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Rain,Wet,None,None,2,1,Driver,F,38,Slight,Not pedestrian,None,None,1,Car,Waiting to/Turning left,N,No,N,N,N,Unknown,M,26,1896,Petrol,7
200501CW10833,Slight,2,1,4/7/2005,Monday,17:10,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Rain,Wet,None,None,2,1,Driver,F,38,Slight,Not pedestrian,None,None,2,Bicycle,Going ahead,N,No,N,N,N,Unknown,F,38,NA,NA,NA
200501CW10834,Slight,1,1,2/6/2005,Thursday,17:35,Single motorway,30,Not at junction,NA,No physical crossing facility,Daylight,Fine,Dry,None,None,1,1,Pedestrian,M,17,Slight,Elsewhere,None,None,1,Bus/Coach,Going ahead,Y,No,N,N,N,Job,M,26,NA,NA,NA
200501CW10836,Slight,2,3,18/6/2005,Saturday,14:35,Single motorway,30,Crossroad,Traffic light,Traffic light,Daylight,Fine,Dry,None,None,1,1,Passenger,M,41,Slight,Not pedestrian,Rear seat,None,1,Car,Waiting to/Turning right,N,No,N,N,N,Unknown,F,42,1998,Petrol,7
